2025-05-06 14:01:30,310 - INFO - Ready for training......
2025-05-06 14:01:30,310 - INFO - Running on device cuda
2025-05-06 14:06:48,791 - INFO - Epoch 154: Loss = 28.4472, Accuracy = 49.20%
2025-05-06 14:06:50,874 - INFO - Epoch 155: Loss = 28.4742, Accuracy = 48.00%
2025-05-06 14:06:52,930 - INFO - Epoch 156: Loss = 27.4299, Accuracy = 52.40%
2025-05-06 14:06:54,988 - INFO - Epoch 157: Loss = 27.9278, Accuracy = 51.60%
2025-05-06 14:06:57,032 - INFO - Epoch 158: Loss = 28.7936, Accuracy = 48.80%
2025-05-06 14:06:59,097 - INFO - Epoch 159: Loss = 27.9464, Accuracy = 52.80%
2025-05-06 14:07:01,164 - INFO - Epoch 160: Loss = 27.4191, Accuracy = 53.60%
2025-05-06 14:07:03,226 - INFO - Epoch 161: Loss = 27.5854, Accuracy = 55.20%
2025-05-06 14:07:05,293 - INFO - Epoch 162: Loss = 28.3223, Accuracy = 50.40%
2025-05-06 14:07:07,330 - INFO - Epoch 163: Loss = 27.7752, Accuracy = 52.40%
2025-05-06 14:07:09,401 - INFO - Epoch 164: Loss = 27.6565, Accuracy = 52.80%
2025-05-06 14:07:11,472 - INFO - Epoch 165: Loss = 26.7797, Accuracy = 51.20%
2025-05-06 14:07:13,525 - INFO - Epoch 166: Loss = 28.1146, Accuracy = 51.60%
2025-05-06 14:07:15,569 - INFO - Epoch 167: Loss = 27.5299, Accuracy = 51.60%
2025-05-06 14:07:17,619 - INFO - Epoch 168: Loss = 27.6902, Accuracy = 53.20%
2025-05-06 14:07:19,653 - INFO - Epoch 169: Loss = 26.8795, Accuracy = 55.20%
2025-05-06 14:07:21,705 - INFO - Epoch 170: Loss = 26.4495, Accuracy = 53.20%
2025-05-06 14:07:23,755 - INFO - Epoch 171: Loss = 26.2709, Accuracy = 53.60%
2025-05-06 14:07:25,805 - INFO - Epoch 172: Loss = 26.9608, Accuracy = 52.80%
2025-05-06 14:07:27,859 - INFO - Epoch 173: Loss = 26.8456, Accuracy = 51.20%
2025-05-06 14:07:29,924 - INFO - Epoch 174: Loss = 26.6378, Accuracy = 50.40%
2025-05-06 14:07:32,006 - INFO - Epoch 175: Loss = 26.4618, Accuracy = 51.20%
2025-05-06 14:07:34,061 - INFO - Epoch 176: Loss = 26.7097, Accuracy = 56.40%
2025-05-06 14:07:36,111 - INFO - Epoch 177: Loss = 27.1292, Accuracy = 50.00%
2025-05-06 14:07:38,154 - INFO - Epoch 178: Loss = 26.6958, Accuracy = 52.40%
2025-05-06 14:07:40,228 - INFO - Epoch 179: Loss = 26.7283, Accuracy = 55.20%
2025-05-06 14:07:42,263 - INFO - Epoch 180: Loss = 26.1260, Accuracy = 50.40%
2025-05-06 14:07:44,328 - INFO - Epoch 181: Loss = 26.2265, Accuracy = 54.40%
2025-05-06 14:07:46,383 - INFO - Epoch 182: Loss = 25.7124, Accuracy = 56.80%
2025-05-06 14:07:48,436 - INFO - Epoch 183: Loss = 25.4948, Accuracy = 57.60%
2025-05-06 14:07:50,507 - INFO - Epoch 184: Loss = 25.4806, Accuracy = 57.60%
2025-05-06 14:07:52,567 - INFO - Epoch 185: Loss = 25.5763, Accuracy = 56.80%
2025-05-06 14:07:54,630 - INFO - Epoch 186: Loss = 26.0118, Accuracy = 55.60%
2025-05-06 14:07:56,671 - INFO - Epoch 187: Loss = 25.6431, Accuracy = 53.20%
2025-05-06 14:07:58,726 - INFO - Epoch 188: Loss = 25.7121, Accuracy = 53.60%
2025-05-06 14:08:00,806 - INFO - Epoch 189: Loss = 25.7845, Accuracy = 56.00%
2025-05-06 14:08:02,870 - INFO - Epoch 190: Loss = 24.6292, Accuracy = 56.40%
2025-05-06 14:08:04,923 - INFO - Epoch 191: Loss = 24.5098, Accuracy = 58.00%
2025-05-06 14:08:06,965 - INFO - Epoch 192: Loss = 25.4102, Accuracy = 54.80%
2025-05-06 14:08:09,003 - INFO - Epoch 193: Loss = 24.7055, Accuracy = 57.60%
2025-05-06 14:08:11,055 - INFO - Epoch 194: Loss = 25.2761, Accuracy = 58.00%
2025-05-06 14:08:13,102 - INFO - Epoch 195: Loss = 24.7498, Accuracy = 57.20%
2025-05-06 14:08:15,170 - INFO - Epoch 196: Loss = 24.6356, Accuracy = 58.00%
2025-05-06 14:08:17,251 - INFO - Epoch 197: Loss = 24.7586, Accuracy = 58.80%
2025-05-06 14:08:19,328 - INFO - Epoch 198: Loss = 24.3730, Accuracy = 56.00%
2025-05-06 14:08:21,365 - INFO - Epoch 199: Loss = 24.8162, Accuracy = 56.80%
2025-05-06 14:08:23,433 - INFO - Epoch 200: Loss = 24.3672, Accuracy = 57.60%
2025-05-06 14:08:23,698 - INFO - ✅ Window-Level Test Accuracy: 22.89%
2025-05-06 14:08:23,698 - INFO - True: ginger          | Predicted: cumin
2025-05-06 14:08:23,698 - INFO - True: ginger          | Predicted: cumin
