2025-05-06 13:52:29,471 - INFO - Ready for training......
2025-05-06 13:52:29,471 - INFO - Running on device cuda
2025-05-06 13:52:31,834 - INFO - Epoch 01: Loss = 62.5978, Accuracy = 2.00%
2025-05-06 13:54:13,416 - INFO - True: brussel_sprouts | Predicted: brussel_sprouts
2025-05-06 13:54:13,416 - INFO - True: avocado         | Predicted: tomato
2025-05-06 13:54:13,416 - INFO - True: avocado         | Predicted: tomato
2025-05-06 13:54:13,416 - INFO - True: avocado         | Predicted: tomato
2025-05-06 13:54:13,416 - INFO - True: avocado         | Predicted: tomato
2025-05-06 13:54:13,416 - INFO - True: avocado         | Predicted: tomato
2025-05-06 13:54:13,416 - INFO - True: avocado         | Predicted: tomato
2025-05-06 13:54:13,416 - INFO - True: avocado         | Predicted: tomato
2025-05-06 13:54:13,416 - INFO - True: avocado         | Predicted: tomato
2025-05-06 13:54:13,416 - INFO - True: avocado         | Predicted: tomato
2025-05-06 13:54:13,416 - INFO - True: almond          | Predicted: almond
2025-05-06 13:54:13,416 - INFO - True: almond          | Predicted: almond
2025-05-06 13:54:13,416 - INFO - True: almond          | Predicted: almond
2025-05-06 13:54:13,416 - INFO - True: almond          | Predicted: almond
2025-05-06 13:54:13,416 - INFO - True: almond          | Predicted: almond
2025-05-06 13:54:13,416 - INFO - True: almond          | Predicted: almond
2025-05-06 13:54:13,416 - INFO - True: almond          | Predicted: almond
2025-05-06 13:54:13,416 - INFO - True: almond          | Predicted: almond
2025-05-06 13:54:13,416 - INFO - True: almond          | Predicted: almond
2025-05-06 13:54:13,416 - INFO - True: dill            | Predicted: dill
2025-05-06 13:54:13,416 - INFO - True: dill            | Predicted: dill
2025-05-06 13:54:13,416 - INFO - True: dill            | Predicted: dill
2025-05-06 13:54:13,416 - INFO - True: dill            | Predicted: dill
2025-05-06 13:54:13,416 - INFO - True: dill            | Predicted: dill
2025-05-06 13:54:13,416 - INFO - True: dill            | Predicted: dill
2025-05-06 13:54:13,416 - INFO - True: dill            | Predicted: dill
2025-05-06 13:54:13,416 - INFO - True: dill            | Predicted: dill
2025-05-06 13:54:13,416 - INFO - True: dill            | Predicted: dill
2025-05-06 13:54:13,416 - INFO - True: chervil         | Predicted: pili_nut
2025-05-06 13:54:13,416 - INFO - True: chervil         | Predicted: pili_nut
2025-05-06 13:54:13,416 - INFO - True: chervil         | Predicted: pili_nut
2025-05-06 13:54:13,416 - INFO - True: chervil         | Predicted: pili_nut
2025-05-06 13:54:13,416 - INFO - True: chervil         | Predicted: pili_nut
2025-05-06 13:54:13,416 - INFO - True: chervil         | Predicted: chervil
2025-05-06 13:54:13,416 - INFO - True: chervil         | Predicted: chervil
2025-05-06 13:54:13,416 - INFO - True: chervil         | Predicted: chervil
2025-05-06 13:54:13,416 - INFO - True: chervil         | Predicted: chervil
2025-05-06 13:54:13,416 - INFO - True: allspice        | Predicted: cumin
2025-05-06 13:54:13,416 - INFO - True: allspice        | Predicted: cumin
2025-05-06 13:54:13,416 - INFO - True: allspice        | Predicted: cumin
2025-05-06 13:54:13,416 - INFO - True: allspice        | Predicted: cumin
2025-05-06 13:54:13,416 - INFO - True: allspice        | Predicted: cumin
2025-05-06 13:54:13,416 - INFO - True: allspice        | Predicted: cumin
2025-05-06 13:54:13,416 - INFO - True: allspice        | Predicted: cumin
2025-05-06 13:54:13,416 - INFO - True: allspice        | Predicted: cumin
2025-05-06 13:54:13,416 - INFO - True: allspice        | Predicted: cumin
2025-05-06 13:54:13,416 - INFO - True: peanuts         | Predicted: cashew
2025-05-06 13:54:13,416 - INFO - True: peanuts         | Predicted: cashew
2025-05-06 13:54:13,417 - INFO - True: peanuts         | Predicted: cashew
2025-05-06 13:54:13,417 - INFO - True: peanuts         | Predicted: cashew
2025-05-06 13:54:13,417 - INFO - True: peanuts         | Predicted: cashew
2025-05-06 13:54:13,417 - INFO - True: peanuts         | Predicted: peanuts
2025-05-06 13:54:13,417 - INFO - True: peanuts         | Predicted: peanuts
2025-05-06 13:54:13,417 - INFO - True: peanuts         | Predicted: peanuts
2025-05-06 13:54:13,417 - INFO - True: peanuts         | Predicted: peanuts
2025-05-06 13:54:13,417 - INFO - True: hazelnut        | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: hazelnut        | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: hazelnut        | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: hazelnut        | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: hazelnut        | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: hazelnut        | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: hazelnut        | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: hazelnut        | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: hazelnut        | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: turnip          | Predicted: tomato
2025-05-06 13:54:13,417 - INFO - True: turnip          | Predicted: tomato
2025-05-06 13:54:13,417 - INFO - True: turnip          | Predicted: tomato
2025-05-06 13:54:13,417 - INFO - True: turnip          | Predicted: tomato
2025-05-06 13:54:13,417 - INFO - True: turnip          | Predicted: tomato
2025-05-06 13:54:13,417 - INFO - True: turnip          | Predicted: tomato
2025-05-06 13:54:13,417 - INFO - True: turnip          | Predicted: tomato
2025-05-06 13:54:13,417 - INFO - True: turnip          | Predicted: tomato
2025-05-06 13:54:13,417 - INFO - True: turnip          | Predicted: tomato
2025-05-06 13:54:13,417 - INFO - True: potato          | Predicted: pecans
2025-05-06 13:54:13,417 - INFO - True: potato          | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: potato          | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: potato          | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: potato          | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: potato          | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: potato          | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: potato          | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: potato          | Predicted: pili_nut
2025-05-06 13:54:13,417 - INFO - True: cumin           | Predicted: broccoli
2025-05-06 13:54:13,417 - INFO - True: cumin           | Predicted: broccoli
2025-05-06 13:54:13,417 - INFO - True: cumin           | Predicted: cumin
2025-05-06 13:54:13,417 - INFO - True: cumin           | Predicted: cumin
2025-05-06 13:54:13,417 - INFO - True: cumin           | Predicted: cumin
2025-05-06 13:54:13,417 - INFO - True: cumin           | Predicted: cumin
2025-05-06 13:54:13,417 - INFO - True: cumin           | Predicted: cumin
2025-05-06 13:54:13,417 - INFO - True: cumin           | Predicted: cumin
2025-05-06 13:54:13,417 - INFO - True: cumin           | Predicted: cumin
2025-05-06 13:54:13,417 - INFO - True: angelica        | Predicted: radish
2025-05-06 13:54:13,417 - INFO - True: angelica        | Predicted: radish
2025-05-06 13:54:13,417 - INFO - True: angelica        | Predicted: radish
2025-05-06 13:54:13,417 - INFO - True: angelica        | Predicted: radish
2025-05-06 13:54:13,417 - INFO - True: angelica        | Predicted: radish
2025-05-06 13:54:13,417 - INFO - True: angelica        | Predicted: radish
2025-05-06 13:54:13,417 - INFO - True: angelica        | Predicted: radish
2025-05-06 13:54:13,417 - INFO - True: angelica        | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: angelica        | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: sweet_potato    | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: sweet_potato    | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: sweet_potato    | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: sweet_potato    | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: sweet_potato    | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: sweet_potato    | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: sweet_potato    | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: sweet_potato    | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: sweet_potato    | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: saffron         | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: saffron         | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: saffron         | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: saffron         | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: saffron         | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: saffron         | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: saffron         | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: saffron         | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: saffron         | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: apple           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: apple           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: apple           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: apple           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: apple           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: apple           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: apple           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: apple           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: apple           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: nutmeg          | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: nutmeg          | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: nutmeg          | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: nutmeg          | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: nutmeg          | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: nutmeg          | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: nutmeg          | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: nutmeg          | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: nutmeg          | Predicted: cumin
2025-05-06 13:54:13,418 - INFO - True: mango           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: mango           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: mango           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: mango           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: mango           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: mango           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: mango           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: mango           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: mango           | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: strawberry      | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: strawberry      | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: strawberry      | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: strawberry      | Predicted: radish
2025-05-06 13:54:13,418 - INFO - True: strawberry      | Predicted: radish
2025-05-06 13:54:13,419 - INFO - True: strawberry      | Predicted: radish
2025-05-06 13:54:13,419 - INFO - True: strawberry      | Predicted: radish
